time,readable_time,ble,rssi,wifi,dev-id
1594114215287,2020-07-07T09:30:15.287000Z,6,-99,0,D1C114BF764A1500
1594114225216,2020-07-07T09:30:25.216000Z,1,-102,1,D1C114BF764A1501
1594114275628,2020-07-07T09:31:15.628000Z,3,-98,2,D1C114BF764A1500
1594114285500,2020-07-07T09:31:25.500000Z,1,-98,4,D1C114BF764A1501
1594114335256,2020-07-07T09:32:15.256000Z,4,-99,2,D1C114BF764A1500
1594114345500,2020-07-07T09:32:25.500000Z,1,-101,1,D1C114BF764A1501
1594114395631,2020-07-07T09:33:15.631000Z,5,-92,4,D1C114BF764A1500
1594114405504,2020-07-07T09:33:25.504000Z,1,-102,4,D1C114BF764A1501
1594114455632,2020-07-07T09:34:15.632000Z,5,-94,1,D1C114BF764A1500
1594114465500,2020-07-07T09:34:25.500000Z,2,-98,3,D1C114BF764A1501
1594114515634,2020-07-07T09:35:15.634000Z,4,-91,3,D1C114BF764A1500
1594114525500,2020-07-07T09:35:25.500000Z,1,-105,3,D1C114BF764A1501
1594114575632,2020-07-07T09:36:15.632000Z,5,-100,6,D1C114BF764A1500
1594114645502,2020-07-07T09:37:25.502000Z,0,-106,3,D1C114BF764A1501
1594114695628,2020-07-07T09:38:15.628000Z,4,-95,5,D1C114BF764A1500
1594114705500,2020-07-07T09:38:25.500000Z,0,-98,5,D1C114BF764A1501
1594114755237,2020-07-07T09:39:15.237000Z,4,-99,2,D1C114BF764A1500
1594114765500,2020-07-07T09:39:25.500000Z,1,-114,2,D1C114BF764A1501
1594114815657,2020-07-07T09:40:15.657000Z,5,-92,3,D1C114BF764A1500
1594114830638,2020-07-07T09:40:30.638000Z,1,-100,2,D1C114BF764A1501
1594114875630,2020-07-07T09:41:15.630000Z,6,-102,4,D1C114BF764A1500
1594114885504,2020-07-07T09:41:25.504000Z,1,-104,3,D1C114BF764A1501
1594114935628,2020-07-07T09:42:15.628000Z,3,-95,3,D1C114BF764A1500
1594114945503,2020-07-07T09:42:25.503000Z,1,-101,1,D1C114BF764A1501
1594114995638,2020-07-07T09:43:15.638000Z,3,-94,1,D1C114BF764A1500
1594115005504,2020-07-07T09:43:25.504000Z,1,-101,2,D1C114BF764A1501
1594115055631,2020-07-07T09:44:15.631000Z,6,-92,3,D1C114BF764A1500
1594115070637,2020-07-07T09:44:30.637000Z,0,-105,1,D1C114BF764A1501
1594115124701,2020-07-07T09:45:24.701000Z,0,-101,2,D1C114BF764A1501
1594115175632,2020-07-07T09:46:15.632000Z,4,-100,3,D1C114BF764A1500
1594115184717,2020-07-07T09:46:24.717000Z,0,-101,2,D1C114BF764A1501
1594115234825,2020-07-07T09:47:14.825000Z,4,-99,3,D1C114BF764A1500
1594115245500,2020-07-07T09:47:25.500000Z,1,-99,2,D1C114BF764A1501
1594115294813,2020-07-07T09:48:14.813000Z,4,-95,3,D1C114BF764A1500
1594115304739,2020-07-07T09:48:24.739000Z,0,-98,2,D1C114BF764A1501
1594115354765,2020-07-07T09:49:14.765000Z,3,-99,1,D1C114BF764A1500
1594115415632,2020-07-07T09:50:15.632000Z,3,-96,1,D1C114BF764A1500
1594115425500,2020-07-07T09:50:25.500000Z,1,-99,3,D1C114BF764A1501
1594115475632,2020-07-07T09:51:15.632000Z,2,-94,3,D1C114BF764A1500
1594115485499,2020-07-07T09:51:25.499000Z,0,-100,3,D1C114BF764A1501
1594115535632,2020-07-07T09:52:15.632000Z,4,-91,2,D1C114BF764A1500
1594115544644,2020-07-07T09:52:24.644000Z,1,-98,1,D1C114BF764A1501
1594115594792,2020-07-07T09:53:14.792000Z,3,-107,3,D1C114BF764A1500
1594115605500,2020-07-07T09:53:25.500000Z,0,-96,1,D1C114BF764A1501
1594115655630,2020-07-07T09:54:15.630000Z,5,-97,5,D1C114BF764A1500
1594115665499,2020-07-07T09:54:25.499000Z,0,-112,4,D1C114BF764A1501
1594115715628,2020-07-07T09:55:15.628000Z,5,-90,4,D1C114BF764A1500
1594115725500,2020-07-07T09:55:25.500000Z,0,-106,3,D1C114BF764A1501
1594115772632,2020-07-07T09:56:12.632000Z,3,-100,4,D1C114BF764A1500
1594115785500,2020-07-07T09:56:25.500000Z,0,-106,1,D1C114BF764A1501
1594115835630,2020-07-07T09:57:15.630000Z,4,-98,5,D1C114BF764A1500
1594115895628,2020-07-07T09:58:15.628000Z,5,-96,3,D1C114BF764A1500
1594115905500,2020-07-07T09:58:25.500000Z,0,-99,4,D1C114BF764A1501
1594115965499,2020-07-07T09:59:25.499000Z,0,-97,3,D1C114BF764A1501
1594116015632,2020-07-07T10:00:15.632000Z,4,-96,3,D1C114BF764A1500
1594116025564,2020-07-07T10:00:25.564000Z,0,-102,3,D1C114BF764A1501
1594116075630,2020-07-07T10:01:15.630000Z,5,-100,2,D1C114BF764A1500
1594116090637,2020-07-07T10:01:30.637000Z,1,-113,1,D1C114BF764A1501
1594116135628,2020-07-07T10:02:15.628000Z,3,-91,2,D1C114BF764A1500
1594116145497,2020-07-07T10:02:25.497000Z,1,-103,3,D1C114BF764A1501
1594116195631,2020-07-07T10:03:15.631000Z,3,-100,3,D1C114BF764A1500
1594116205619,2020-07-07T10:03:25.619000Z,0,-95,1,D1C114BF764A1501
1594116210635,2020-07-07T10:03:30.635000Z,0,-101,1,D1C114BF764A1501
1594116210821,2020-07-07T10:03:30.821000Z,0,-98,1,D1C114BF764A1501
1594116210969,2020-07-07T10:03:30.969000Z,0,-110,1,D1C114BF764A1501
1594116255628,2020-07-07T10:04:15.628000Z,2,-98,5,D1C114BF764A1500
1594116265499,2020-07-07T10:04:25.499000Z,0,-103,3,D1C114BF764A1501
1594116315632,2020-07-07T10:05:15.632000Z,4,-96,1,D1C114BF764A1500
1594116330634,2020-07-07T10:05:30.634000Z,1,-101,1,D1C114BF764A1501
1594116375632,2020-07-07T10:06:15.632000Z,3,-99,3,D1C114BF764A1500
1594116385500,2020-07-07T10:06:25.500000Z,0,-104,3,D1C114BF764A1501
1594116445627,2020-07-07T10:07:25.627000Z,0,-100,2,D1C114BF764A1501
1594116495920,2020-07-07T10:08:15.920000Z,6,-101,3,D1C114BF764A1500
1594116505653,2020-07-07T10:08:25.653000Z,0,-94,4,D1C114BF764A1501
1594116555628,2020-07-07T10:09:15.628000Z,4,-95,3,D1C114BF764A1500
1594116565500,2020-07-07T10:09:25.500000Z,0,-101,2,D1C114BF764A1501
1594116615630,2020-07-07T10:10:15.630000Z,2,-96,1,D1C114BF764A1500
1594116675630,2020-07-07T10:11:15.630000Z,4,-108,2,D1C114BF764A1500
1594116685496,2020-07-07T10:11:25.496000Z,0,-94,3,D1C114BF764A1501
1594116735632,2020-07-07T10:12:15.632000Z,2,-102,3,D1C114BF764A1500
1594116745497,2020-07-07T10:12:25.497000Z,0,-99,2,D1C114BF764A1501
1594116795632,2020-07-07T10:13:15.632000Z,1,-99,4,D1C114BF764A1500
1594116805497,2020-07-07T10:13:25.497000Z,0,-101,2,D1C114BF764A1501
1594116855630,2020-07-07T10:14:15.630000Z,4,-97,3,D1C114BF764A1500
1594116865665,2020-07-07T10:14:25.665000Z,1,-97,4,D1C114BF764A1501
1594116925640,2020-07-07T10:15:25.640000Z,0,-99,3,D1C114BF764A1501
1594116975631,2020-07-07T10:16:15.631000Z,2,-100,5,D1C114BF764A1500
1594116985522,2020-07-07T10:16:25.522000Z,0,-102,2,D1C114BF764A1501
1594117035648,2020-07-07T10:17:15.648000Z,2,-101,1,D1C114BF764A1500
1594117045668,2020-07-07T10:17:25.668000Z,0,-99,0,D1C114BF764A1501
1594117095628,2020-07-07T10:18:15.628000Z,5,-97,4,D1C114BF764A1500
1594117155632,2020-07-07T10:19:15.632000Z,3,-102,2,D1C114BF764A1500
1594117165508,2020-07-07T10:19:25.508000Z,0,-102,0,D1C114BF764A1501
1594117212639,2020-07-07T10:20:12.639000Z,3,-106,3,D1C114BF764A1500
1594117225496,2020-07-07T10:20:25.496000Z,0,-99,2,D1C114BF764A1501
1594117275632,2020-07-07T10:21:15.632000Z,3,-94,1,D1C114BF764A1500
1594117285494,2020-07-07T10:21:25.494000Z,0,-106,1,D1C114BF764A1501
1594117335632,2020-07-07T10:22:15.632000Z,2,-95,1,D1C114BF764A1500
1594117350636,2020-07-07T10:22:30.636000Z,0,-103,0,D1C114BF764A1501
1594117405499,2020-07-07T10:23:25.499000Z,0,-99,3,D1C114BF764A1501
1594117455630,2020-07-07T10:24:15.630000Z,2,-100,5,D1C114BF764A1500
