"ruuviMac","ruuviMovement","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","accelerationX","accelerationY","accelerationZ","measurementSequenceNumber","temperature","humidity","pressure","host","location"
"ca:95:7d:02:49:0f ","118","0","2869","-60","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.42 +03:00","532","-824","-244","13256","36,65","37,64","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2449","-57","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.41 +03:00","1056","80","-184","13531","34,56","40,83","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","58","22","2611","-59","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.37 +03:00","-388","-844","-252","13956","35,39","38,76","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","190","36","2449","-63","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.36 +03:00","744","-704","24","14053","33,14","39,35","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","168","0","2509","-64","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.34 +03:00","968","272","-196","14218","34,87","38,88","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","153","20","2503","-73","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.33 +03:00","568","-804","-392","13771","33,88","40,02","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-60","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.31 +03:00","532","-824","-244","13247","36,63","37,64","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2461","-53","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.30 +03:00","1044","76","-192","13522","34,53","40,85","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3211","-53","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.26 +03:00","676","-768","-212","17181","34,57","40,02","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2413","-75","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.22 +03:00","0","900","-416","4053","35,76","38,4","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-66","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.18 +03:00","528","-812","-248","13237","36,62","37,63","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2449","-61","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.12 +03:00","728","-708","-172","14024","33,14","39,38","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","168","0","2521","-69","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.08 +03:00","968","272","-196","14188","34,81","38,63","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","133","3","2503","-67","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.04 +03:00","572","-800","-380","13743","33,81","39,83","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2419","-82","d8:a0:1d:65:7e:18 ","24.6.2020 13.17.00 +03:00","4","904","-412","4035","35,76","38,4","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2857","-66","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.56 +03:00","536","-828","-252","13219","36,59","37,59","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3205","-55","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.49 +03:00","680","-772","-204","17151","34,5","39,85","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","36","0","2605","-53","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.48 +03:00","-432","-928","-136","13916","35,39","38,77","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2449","-70","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.47 +03:00","728","-708","-168","14012","33,14","39,41","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","168","0","2515","-70","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.45 +03:00","972","280","-200","14176","34,8","38,51","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","130","7","2503","-69","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.44 +03:00","576","-796","-388","13731","33,8","39,73","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2419","-77","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.42 +03:00","4","900","-420","4024","35,76","38,38","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-59","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.41 +03:00","536","-832","-252","13206","36,57","37,55","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2449","-54","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.38 +03:00","1052","76","-184","13482","34,44","40,69","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3205","-55","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.34 +03:00","676","-764","-216","17138","34,5","39,81","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2419","-76","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.30 +03:00","0","892","-416","4010","35,76","38,36","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2413","-53","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.24 +03:00","1048","84","-184","13469","34,42","40,65","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3211","-49","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.17 +03:00","680","-760","-212","17125","34,5","39,72","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e5:e7:6c:3f:db:cc ","154","0","2449","-69","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.16 +03:00","720","-712","-168","13987","33,13","39,43","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","168","0","2509","-69","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.14 +03:00","968","276","-200","14151","34,81","38,47","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","118","5","2497","-70","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.10 +03:00","552","-760","-488","13704","33,81","39,64","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:45:ba:9d:c9:42 ","168","0","2413","-79","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.09 +03:00","0","896","-412","3998","35,75","38,4","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ca:95:7d:02:49:0f ","118","0","2869","-60","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.07 +03:00","540","-828","-244","13182","36,54","37,57","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"c5:0c:b3:a5:72:f5 ","236","0","2449","-57","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.06 +03:00","1048","84","-184","13457","34,4","40,59","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"f8:c6:12:37:f4:3d ","67","0","3211","-55","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.02 +03:00","680","-760","-212","17116","34,5","39,72","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"ed:e3:d2:a0:99:aa ","36","0","2605","-53","d8:a0:1d:65:7e:18 ","24.6.2020 13.16.00 +03:00","-428","-932","-132","13881","35,38","38,81","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"e4:f4:86:52:c5:84 ","168","14","2509","-73","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.59 +03:00","968","276","-196","14143","34,81","38,53","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
"de:cf:0b:be:0c:6d ","113","3","2503","-67","d8:a0:1d:65:7e:18 ","24.6.2020 13.15.57 +03:00","540","-768","-488","13695","33,82","39,65","1025","ESP32RuuviGW-d8a01d657e18 ","hietsun ulkoliikuntasali"
