id,time,count,name
208,2020-06-24 09:25:31.139777+00,1,Aktiiviset
209,2020-06-24 09:25:40.257732+00,2,Aktiiviset
210,2020-06-24 09:25:43.543859+00,6,Alueella
211,2020-06-24 09:25:58.84773+00,1,Aktiiviset
212,2020-06-24 09:25:59.387748+00,0,Aktiiviset
213,2020-06-24 09:26:17.006194+00,7,Alueella
214,2020-06-24 09:26:22.831856+00,6,Alueella
215,2020-06-24 09:26:24.092613+00,1,Aktiiviset
216,2020-06-24 09:27:15.569798+00,0,Aktiiviset
217,2020-06-24 09:27:58.021339+00,1,Aktiiviset
218,2020-06-24 09:28:04.806362+00,2,Aktiiviset
219,2020-06-24 09:28:05.090734+00,5,Alueella
220,2020-06-24 09:28:09.258997+00,1,Aktiiviset
221,2020-06-24 09:28:27.468242+00,0,Aktiiviset
222,2020-06-24 09:28:47.377648+00,6,Alueella
223,2020-06-24 09:29:04.744352+00,1,Aktiiviset
224,2020-06-24 09:29:55.54287+00,0,Aktiiviset
225,2020-06-24 09:30:30.841963+00,1,Aktiiviset
226,2020-06-24 09:30:36.238456+00,5,Alueella
227,2020-06-24 09:30:45.445602+00,0,Aktiiviset
228,2020-06-24 09:31:00.243445+00,6,Alueella
229,2020-06-24 09:31:06.463762+00,5,Alueella
230,2020-06-24 09:31:14.049436+00,1,Aktiiviset
231,2020-06-24 09:31:24.178078+00,6,Alueella
232,2020-06-24 09:31:27.548362+00,0,Aktiiviset
233,2020-06-24 09:31:50.440345+00,1,Aktiiviset
234,2020-06-24 09:31:56.60366+00,0,Aktiiviset
235,2020-06-24 09:32:26.839609+00,1,Aktiiviset
236,2020-06-24 09:32:46.200444+00,0,Aktiiviset
237,2020-06-24 09:32:53.606423+00,1,Aktiiviset
238,2020-06-24 09:32:54.095764+00,2,Aktiiviset
239,2020-06-24 09:33:16.616128+00,1,Aktiiviset
240,2020-06-24 09:33:17.283411+00,0,Aktiiviset
241,2020-06-24 09:33:20.792859+00,7,Alueella
242,2020-06-24 09:33:21.380488+00,8,Alueella
243,2020-06-24 09:33:33.230952+00,7,Alueella
244,2020-06-24 09:33:38.596258+00,8,Alueella
245,2020-06-24 09:33:53.790901+00,9,Alueella
246,2020-06-24 09:35:33.532147+00,10,Alueella
247,2020-06-24 09:36:54.558193+00,9,Alueella
248,2020-06-24 09:36:54.672702+00,8,Alueella
249,2020-06-24 09:36:55.099822+00,7,Alueella
250,2020-06-24 09:36:55.591929+00,6,Alueella
251,2020-06-24 09:36:58.692471+00,7,Alueella
252,2020-06-24 09:37:23.122358+00,6,Alueella
253,2020-06-24 09:37:53.565694+00,5,Alueella
254,2020-06-24 09:37:57.682551+00,6,Alueella
255,2020-06-24 09:40:06.491132+00,9,Alueella
256,2020-06-24 09:40:06.519791+00,9,Alueella
257,2020-06-24 09:40:13.442132+00,8,Alueella
258,2020-06-24 09:41:10.370758+00,7,Alueella
259,2020-06-24 09:41:10.883149+00,6,Alueella
260,2020-06-24 09:41:42.564983+00,5,Alueella
261,2020-06-24 09:42:24.322716+00,1,Aktiiviset
262,2020-06-24 09:42:26.126154+00,0,Aktiiviset
263,2020-06-24 09:42:33.054579+00,6,Alueella
264,2020-06-24 09:43:03.361408+00,1,Aktiiviset
265,2020-06-24 09:43:34.082306+00,0,Aktiiviset
266,2020-06-24 09:44:22.132528+00,1,Aktiiviset
267,2020-06-24 09:44:39.712064+00,7,Alueella
268,2020-06-24 09:44:44.520514+00,6,Alueella
269,2020-06-24 09:44:49.672139+00,0,Aktiiviset
270,2020-06-24 09:44:53.240219+00,1,Aktiiviset
271,2020-06-24 09:45:03.652052+00,2,Aktiiviset
272,2020-06-24 09:45:04.181516+00,3,Aktiiviset
273,2020-06-24 09:45:04.861162+00,2,Aktiiviset
274,2020-06-24 09:45:09.609134+00,1,Aktiiviset
275,2020-06-24 09:45:28.70128+00,0,Aktiiviset
276,2020-06-24 09:45:38.287423+00,1,Aktiiviset
277,2020-06-24 09:45:51.12302+00,2,Aktiiviset
278,2020-06-24 09:45:52.785024+00,1,Aktiiviset
279,2020-06-24 09:45:54.491469+00,2,Aktiiviset
280,2020-06-24 09:45:56.312069+00,1,Aktiiviset
281,2020-06-24 09:46:04.456206+00,0,Aktiiviset
282,2020-06-24 09:46:07.441777+00,5,Alueella
283,2020-06-24 09:46:13.69311+00,1,Aktiiviset
284,2020-06-24 09:46:14.023134+00,2,Aktiiviset
285,2020-06-24 09:46:17.299469+00,1,Aktiiviset
286,2020-06-24 09:46:38.965506+00,2,Aktiiviset
287,2020-06-24 09:46:43.48979+00,1,Aktiiviset
288,2020-06-24 09:46:44.636217+00,2,Aktiiviset
289,2020-06-24 09:46:47.09721+00,6,Alueella
290,2020-06-24 09:46:50.197672+00,3,Aktiiviset
291,2020-06-24 09:46:57.37314+00,2,Aktiiviset
292,2020-06-24 09:47:03.899488+00,3,Aktiiviset
293,2020-06-24 09:47:11.624528+00,2,Aktiiviset
294,2020-06-24 09:47:11.942245+00,1,Aktiiviset
295,2020-06-24 09:47:14.043587+00,0,Aktiiviset
296,2020-06-24 09:47:46.878836+00,1,Aktiiviset
297,2020-06-24 09:47:50.692178+00,2,Aktiiviset
298,2020-06-24 09:47:57.879505+00,5,Alueella
299,2020-06-24 09:48:01.337986+00,3,Aktiiviset
300,2020-06-24 09:48:02.149567+00,2,Aktiiviset
301,2020-06-24 09:48:08.803942+00,1,Aktiiviset
302,2020-06-24 09:48:13.146057+00,2,Aktiiviset
303,2020-06-24 09:48:28.057037+00,1,Aktiiviset
304,2020-06-24 09:48:31.367764+00,0,Aktiiviset
305,2020-06-24 09:48:39.931881+00,1,Aktiiviset
306,2020-06-24 09:48:48.431758+00,2,Aktiiviset
307,2020-06-24 09:49:09.565779+00,1,Aktiiviset
308,2020-06-24 09:49:11.947682+00,2,Aktiiviset
309,2020-06-24 09:49:20.80041+00,3,Aktiiviset
310,2020-06-24 09:49:22.110784+00,2,Aktiiviset
311,2020-06-24 09:49:22.739055+00,1,Aktiiviset
312,2020-06-24 09:49:31.903157+00,6,Alueella
313,2020-06-24 09:49:40.442377+00,7,Alueella
314,2020-06-24 09:49:41.60759+00,2,Aktiiviset
315,2020-06-24 09:49:45.948136+00,8,Alueella
316,2020-06-24 09:49:49.631275+00,1,Aktiiviset
