time,name,dev-id,motion_detected,temperature,humidity,pressure,collision_x,collision_y,collision_z
2020-07-07 09:40:10+00:00,12,dd9c5cf625ed,0.0,18.260000228881836,76.4800033569336,1001.2000122070312,0.0,0.0,0.0
2020-07-07 09:40:12+00:00,17,c9ab32028ff0,0.0,16.219999313354492,80.87999725341797,999.7999877929688,0.0,0.0,0.0
2020-07-07 09:40:12+00:00,38,dad2630c1950,0.0,18.760000228881836,67.68000030517578,999.5999755859375,0.0,0.0,0.0
2020-07-07 09:40:16+00:00,13,d3d0f2d379a6,0.0,18.75,73.61000061035156,1001.7999877929688,0.0,0.0,0.0
2020-07-07 09:40:16+00:00,26,dafe017e5c0d,0.0,22.860000610351562,56.66999816894531,1003.0999755859375,0.0,0.0,0.0
2020-07-07 09:40:17+00:00,15,ce4b430edca3,0.0,15.779999732971191,82.61000061035156,999.0999755859375,0.0,0.0,0.0
2020-07-07 09:40:17+00:00,20,d7356479a2d9,0.0,19.5,69.76000213623047,1003.4000244140625,0.0,0.0,0.0
2020-07-07 09:40:17+00:00,10,e12cc2d5c724,0.0,18.329999923706055,94.26000213623047,1002.2999877929688,0.0,0.0,0.0
2020-07-07 09:40:19+00:00,19,f09e4c30444e,0.0,21.010000228881836,66.80999755859375,1002.9000244140625,0.0,0.0,0.0
2020-07-07 09:40:20+00:00,25,dc565c713989,0.0,19.65999984741211,72.25,1003.5,0.0,0.0,0.0
2020-07-07 09:40:25+00:00,31,d03da222e8b6,0.0,19.100000381469727,66.7699966430664,999.7999877929688,0.0,0.0,0.0
2020-07-07 09:40:26+00:00,14,e401ed8c0d2e,0.0,16.010000228881836,83.88999938964844,1000.0999755859375,0.0,0.0,0.0
2020-07-07 09:40:27+00:00,23,e9896dd4e577,0.0,22.479999542236328,56.93000030517578,1003.0,0.0,0.0,0.0
2020-07-07 09:40:29+00:00,33,c3eb408a47de,0.0,16.030000686645508,74.66999816894531,999.2999877929688,0.0,0.0,0.0
2020-07-07 09:40:31+00:00,02,e1a9bf610eef,0.0,18.170000076293945,74.05000305175781,1000.0,0.0,0.0,0.0
2020-07-07 09:40:34+00:00,11,d11055462610,0.0,18.81999969482422,73.41999816894531,1002.2000122070312,0.0,0.0,0.0
2020-07-07 09:40:36+00:00,03,c1ccd6c032b4,0.0,18.040000915527344,75.98999786376953,999.9000244140625,0.0,0.0,0.0
2020-07-07 09:40:36+00:00,05,f62316dbb3f5,0.0,18.899999618530273,75.73999786376953,999.0,0.0,0.0,0.0
2020-07-07 09:40:37+00:00,43,cb9998f6e71b,0.0,19.6200008392334,74.01000213623047,1000.5999755859375,0.0,0.0,0.0
2020-07-07 09:40:38+00:00,09,cceb15e43282,0.0,18.229999542236328,74.51000213623047,1001.7000122070312,0.0,0.0,0.0
2020-07-07 09:40:40+00:00,08,c3ba512bbfeb,1.0,18.959999084472656,73.55000305175781,1000.7000122070312,10.0,26.0,30.0
2020-07-07 09:40:40+00:00,34,fb42f04d9b58,0.0,15.65999984741211,85.43000030517578,1000.7999877929688,0.0,0.0,0.0
2020-07-07 09:40:41+00:00,42,f39845bf345e,0.0,20.8799991607666,75.6500015258789,1001.2000122070312,0.0,0.0,0.0
2020-07-07 09:40:45+00:00,41,fb7233c240cd,0.0,20.579999923706055,66.05999755859375,1000.9000244140625,0.0,0.0,0.0
2020-07-07 09:40:50+00:00,04,f231f773d177,0.0,18.700000762939453,73.9000015258789,1000.5,0.0,0.0,0.0
2020-07-07 09:40:51+00:00,18,e89e8aa9aa91,1.0,16.270000457763672,83.54000091552734,999.4000244140625,12.0,19.0,32.0
2020-07-07 09:40:53+00:00,21,c28ffba35896,0.0,21.649999618530273,68.87999725341797,1003.7000122070312,0.0,0.0,0.0
