time,readable_time,ble,rssi,wifi,dev-id
1592990784584,2020-06-24T09:26:24.584000Z,0,-96,2,D1C114BF764A1501
1592990842496,2020-06-24T09:27:22.496000Z,0,-96,2,D1C114BF764A1500
1592990844585,2020-06-24T09:27:24.585000Z,0,-98,3,D1C114BF764A1501
1592990900584,2020-06-24T09:28:20.584000Z,1,-101,2,D1C114BF764A1501
1592990902496,2020-06-24T09:28:22.496000Z,1,-100,2,D1C114BF764A1500
1592990964584,2020-06-24T09:29:24.584000Z,1,-100,4,D1C114BF764A1501
1592991022496,2020-06-24T09:30:22.496000Z,1,-98,2,D1C114BF764A1500
1592991024604,2020-06-24T09:30:24.604000Z,1,-98,1,D1C114BF764A1501
1592991082494,2020-06-24T09:31:22.494000Z,0,-94,2,D1C114BF764A1500
1592991084584,2020-06-24T09:31:24.584000Z,1,-100,3,D1C114BF764A1501
1592991138496,2020-06-24T09:32:18.496000Z,1,-94,2,D1C114BF764A1500
1592991144585,2020-06-24T09:32:24.585000Z,1,-99,3,D1C114BF764A1501
1592991202499,2020-06-24T09:33:22.499000Z,1,-100,3,D1C114BF764A1500
1592991262496,2020-06-24T09:34:22.496000Z,1,-97,1,D1C114BF764A1500
1592991264588,2020-06-24T09:34:24.588000Z,1,-98,2,D1C114BF764A1501
1592991322496,2020-06-24T09:35:22.496000Z,1,-96,1,D1C114BF764A1500
1592991324588,2020-06-24T09:35:24.588000Z,1,-102,1,D1C114BF764A1501
1592991380599,2020-06-24T09:36:20.599000Z,1,-98,5,D1C114BF764A1501
1592991382496,2020-06-24T09:36:22.496000Z,1,-96,2,D1C114BF764A1500
1592991444586,2020-06-24T09:37:24.586000Z,1,-101,4,D1C114BF764A1501
1592991498499,2020-06-24T09:38:18.499000Z,2,-99,2,D1C114BF764A1500
1592991504588,2020-06-24T09:38:24.588000Z,2,-98,3,D1C114BF764A1501
1592991558499,2020-06-24T09:39:18.499000Z,2,-102,4,D1C114BF764A1500
1592991564586,2020-06-24T09:39:24.586000Z,2,-105,2,D1C114BF764A1501
1592991618528,2020-06-24T09:40:18.528000Z,3,-96,2,D1C114BF764A1500
1592991624588,2020-06-24T09:40:24.588000Z,3,-98,3,D1C114BF764A1501
1592991683637,2020-06-24T09:41:23.637000Z,3,-98,1,D1C114BF764A1500
1592991738503,2020-06-24T09:42:18.503000Z,2,-93,2,D1C114BF764A1500
1592991744588,2020-06-24T09:42:24.588000Z,2,-100,1,D1C114BF764A1501
1592991798500,2020-06-24T09:43:18.500000Z,2,-94,2,D1C114BF764A1500
1592991804588,2020-06-24T09:43:24.588000Z,2,-98,3,D1C114BF764A1501
1592991862500,2020-06-24T09:44:22.500000Z,2,-100,2,D1C114BF764A1500
1592991864588,2020-06-24T09:44:24.588000Z,2,-100,1,D1C114BF764A1501
1592991923636,2020-06-24T09:45:23.636000Z,2,-91,2,D1C114BF764A1500
1592991924588,2020-06-24T09:45:24.588000Z,2,-99,1,D1C114BF764A1501
1592991984588,2020-06-24T09:46:24.588000Z,3,-98,2,D1C114BF764A1501
1592992038502,2020-06-24T09:47:18.502000Z,2,-98,2,D1C114BF764A1500
1592992044589,2020-06-24T09:47:24.589000Z,2,-101,3,D1C114BF764A1501
1592992098500,2020-06-24T09:48:18.500000Z,2,-94,3,D1C114BF764A1500
1592992164592,2020-06-24T09:49:24.592000Z,2,-100,2,D1C114BF764A1501
1592992222500,2020-06-24T09:50:22.500000Z,2,-99,2,D1C114BF764A1500
1592992224592,2020-06-24T09:50:24.592000Z,2,-101,3,D1C114BF764A1501
1592992278778,2020-06-24T09:51:18.778000Z,2,-97,2,D1C114BF764A1500
1592992284592,2020-06-24T09:51:24.592000Z,2,-101,2,D1C114BF764A1501
1592992342500,2020-06-24T09:52:22.500000Z,2,-96,1,D1C114BF764A1500
1592992344592,2020-06-24T09:52:24.592000Z,2,-104,2,D1C114BF764A1501
1592992402504,2020-06-24T09:53:22.504000Z,2,-99,2,D1C114BF764A1500
1592992404589,2020-06-24T09:53:24.589000Z,2,-106,2,D1C114BF764A1501
