891;2020-07-07 10:17:36.099911+00;2;Aktiiviset
892;2020-07-07 10:17:39.896948+00;1;Aktiiviset
893;2020-07-07 10:17:50.957768+00;2;Aktiiviset
894;2020-07-07 10:18:02.610994+00;1;Aktiiviset
895;2020-07-07 10:18:20.479926+00;2;Aktiiviset
896;2020-07-07 10:18:20.941465+00;3;Aktiiviset
897;2020-07-07 10:18:39.406325+00;2;Aktiiviset
898;2020-07-07 10:18:39.766513+00;1;Aktiiviset
899;2020-07-07 10:18:45.293576+00;0;Aktiiviset
900;2020-07-07 10:19:30.060068+00;1;Aktiiviset
901;2020-07-07 10:19:35.351157+00;2;Aktiiviset
902;2020-07-07 10:20:07.07633+00;3;Aktiiviset
903;2020-07-07 10:20:08.431921+00;4;Aktiiviset
904;2020-07-07 10:21:14.825886+00;6;Alueella
905;2020-07-07 10:21:14.866989+00;6;Alueella
906;2020-07-07 10:21:15.639546+00;5;Alueella
907;2020-07-07 10:21:16.37844+00;4;Alueella
908;2020-07-07 10:23:15.647959+00;2;Aktiiviset
909;2020-07-07 10:23:49.435736+00;1;Aktiiviset
910;2020-07-07 10:24:42.265036+00;5;Alueella
911;2020-07-07 10:24:56.317359+00;2;Aktiiviset
912;2020-07-07 10:25:09.971743+00;3;Aktiiviset
913;2020-07-07 10:25:30.076864+00;2;Aktiiviset
914;2020-07-07 10:25:37.860966+00;1;Aktiiviset
915;2020-07-07 10:25:57.911542+00;0;Aktiiviset
916;2020-07-07 10:26:26.1628+00;1;Aktiiviset
917;2020-07-07 10:26:51.186441+00;6;Alueella
918;2020-07-07 10:26:59.076177+00;0;Aktiiviset
919;2020-07-07 10:27:16.285474+00;1;Aktiiviset
920;2020-07-07 10:27:19.829211+00;5;Alueella
921;2020-07-07 10:27:46.59591+00;2;Aktiiviset
922;2020-07-07 10:27:48.192651+00;3;Aktiiviset
923;2020-07-07 10:27:53.37659+00;2;Aktiiviset
924;2020-07-07 10:28:23.130521+00;1;Aktiiviset
925;2020-07-07 10:29:31.679844+00;2;Aktiiviset
926;2020-07-07 10:29:38.147012+00;1;Aktiiviset
927;2020-07-07 10:29:39.889224+00;6;Alueella
928;2020-07-07 10:29:40.171776+00;7;Alueella
929;2020-07-07 10:29:40.932788+00;8;Alueella
930;2020-07-07 10:29:41.485703+00;9;Alueella
931;2020-07-07 10:29:51.637449+00;2;Aktiiviset
932;2020-07-07 10:29:59.491532+00;3;Aktiiviset
933;2020-07-07 10:30:03.813453+00;4;Aktiiviset
934;2020-07-07 10:30:11.754602+00;3;Aktiiviset
935;2020-07-07 10:30:19.722773+00;2;Aktiiviset
936;2020-07-07 10:30:35.359548+00;1;Aktiiviset
937;2020-07-07 10:30:43.844698+00;0;Aktiiviset
938;2020-07-07 10:30:56.172214+00;1;Aktiiviset
939;2020-07-07 10:31:06.353428+00;2;Aktiiviset
940;2020-07-07 10:31:30.464617+00;1;Aktiiviset
941;2020-07-07 10:31:38.731934+00;10;Alueella
942;2020-07-07 10:31:41.897778+00;2;Aktiiviset
943;2020-07-07 10:31:44.725197+00;3;Aktiiviset
944;2020-07-07 10:31:46.368312+00;2;Aktiiviset
945;2020-07-07 10:32:16.700048+00;1;Aktiiviset
946;2020-07-07 10:32:21.554507+00;0;Aktiiviset
947;2020-07-07 10:32:45.00961+00;1;Aktiiviset
948;2020-07-07 10:32:49.077918+00;2;Aktiiviset
949;2020-07-07 10:33:17.363749+00;3;Aktiiviset
950;2020-07-07 10:33:19.264449+00;4;Aktiiviset
951;2020-07-07 10:33:28.808977+00;9;Alueella
